Time - Voltage	Amplitude - Voltage
25.582884	0.204276
25.582888	0.204441
25.582892	0.206579
25.582896	0.204112
25.5829	0.205428
25.582904	0.205921
25.582908	0.205592
25.582912	0.205592
25.582916	0.203125
25.58292	0.207237
25.582924	0.203618
25.582928	0.204934
25.582932	0.205428
25.582936	0.205263
25.58294	0.205592
25.582944	0.202796
25.582948	0.207237
25.582952	0.203783
25.582956	0.20477
25.58296	0.205756
25.582964	0.205428
25.582968	0.205428
25.582972	0.203125
25.582976	0.207894
25.58298	0.202961
25.582984	0.205921
25.582988	0.20477
25.582992	0.204934
25.582996	0.204605
25.583	0.206414
25.583004	0.205099
25.583008	0.203289
25.583012	0.204441
25.583016	0.203618
25.58302	0.204441
25.583024	0.202303
25.583028	0.207894
25.583032	0.203125
25.583036	0.204276
25.58304	0.204441
25.583044	0.204441
25.583048	0.204934
25.583052	0.202961
25.583056	0.207894
25.58306	0.203454
25.583064	0.20625
25.583068	0.20477
25.583072	0.205263
25.583076	0.204605
25.58308	0.203289
25.583084	0.206743
25.583088	0.202467
25.583092	0.205428
25.583096	0.204441
25.5831	0.205428
25.583104	0.205099
25.583108	0.206743
25.583112	0.205921
25.583116	0.202467
25.58312	0.204276
25.583124	0.203454
25.583128	0.204441
25.583132	0.203783
25.583136	0.207072
25.58314	0.204112
25.583144	0.205099
25.583148	0.206085
25.583152	0.205099
25.583156	0.205756
25.58316	0.202961
25.583164	0.207237
25.583168	0.203289
25.583172	0.206414
25.583176	0.205099
25.58318	0.205756
25.583184	0.202138
25.583188	0.20773
25.583192	0.203454
25.583196	0.204441
25.5832	0.205099
25.583204	0.204441
25.583208	0.205099
25.583212	0.206579
25.583216	0.204605
25.58322	0.205099
25.583224	0.206085
25.583228	0.20477
25.583232	0.205099
25.583236	0.206743
25.58324	0.20477
25.583244	0.204441
25.583248	0.205756
25.583252	0.20477
25.583256	0.20477
25.58326	0.206743
25.583264	0.204276
25.583268	0.205428
25.583272	0.20625
25.583276	0.205263
25.58328	0.202796
25.583284	0.207401
25.583288	0.203783
25.583292	0.20477
25.583296	0.205263
25.5833	0.205263
25.583304	0.205263
25.583308	0.207072
25.583312	0.204441
25.583316	0.205428
25.58332	0.205921
25.583324	0.204934
25.583328	0.205756
25.583332	0.206414
25.583336	0.205921
25.58334	0.202632
25.583344	0.20477
25.583348	0.203618
25.583352	0.204276
25.583356	0.202796
25.58336	0.207072
25.583364	0.202796
25.583368	0.206085
25.583372	0.205099
25.583376	0.205756
25.58338	0.203125
25.583384	0.207237
25.583388	0.203289
25.583392	0.206579
25.583396	0.205099
25.5834	0.206085
25.583404	0.202961
25.583408	0.20773
25.583412	0.202796
25.583416	0.205099
25.58342	0.204276
25.583424	0.204441
25.583428	0.204276
25.583432	0.206908
25.583436	0.203947
25.58344	0.205263
25.583444	0.205921
25.583448	0.205756
25.583452	0.205592
25.583456	0.202961
25.58346	0.20773
25.583464	0.203454
25.583468	0.204441
25.583472	0.203618
25.583476	0.204441
25.58348	0.204441
25.583484	0.202961
